0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/list HTTP/1.1" 200 22445
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/30/993efca1-bfdb-4808-b0f7-a517ab661b3f_%EA%B3%A0%EC%96%91%EC%9D%B4%20(1).jpg HTTP/1.1" 200 514020
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/31/0779db5c-93e9-4607-889c-be85ff2cf312_%EA%B3%A0%EC%96%91%EC%9D%B4%20(3).jpg HTTP/1.1" 200 484480
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/31/792f9b42-1992-4731-bd5e-2feca9ade97c_%EA%B3%A0%EC%96%91%EC%9D%B4%20(2).jpg HTTP/1.1" 200 1402007
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/31/bd2d96ce-361b-4c7d-9eab-8a6f0e155d36_%EA%B3%A0%EC%96%91%EC%9D%B4%20(7).jpg HTTP/1.1" 200 526307
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/31/728f83d6-f79f-4079-af19-40c9e53b7d46_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:16 +0900] "GET /petti/product/files/display?fileName=2023/08/31/5cf252ae-23ff-47ab-a6b7-111a4781c8ee_%EA%B3%A0%EC%96%91%EC%9D%B4%20(4).jpg HTTP/1.1" 200 988061
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:19 +0900] "GET /petti/free/list HTTP/1.1" 200 15574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:19 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=216 HTTP/1.1" 200 9631
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2016
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6233
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/free/getAttachList?bno=216 HTTP/1.1" 200 12
0:0:0:0:0:0:0:1 - - [12/Sep/2023:10:55:21 +0900] "GET /petti/freeReplies/pages/1/216 HTTP/1.1" 200 37
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:03:51 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:03:51 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:03:59 +0900] "GET /petti/findMemberInfo HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:03:59 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:04:02 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:04:04 +0900] "GET /petti/findMemberInfo HTTP/1.1" 200 6236
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:04:04 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:05:41 +0900] "POST /petti/findMemberId HTTP/1.1" 200 48
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:42:04 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:11:42:04 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:00 +0900] "GET /petti/free/list HTTP/1.1" 200 15574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:00 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:06 +0900] "GET /petti/free/list HTTP/1.1" 200 15574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:06 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:15 +0900] "GET /petti/free/register?pageNum=1&amount=10&cno=0&recommend=F HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:15 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:15 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:16 +0900] "GET /petti/free/list HTTP/1.1" 200 15574
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:27 +0900] "GET /petti/login HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:27 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:30 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:30 +0900] "GET /petti/free/register?pageNum=1&amount=10&cno=0&recommend=F HTTP/1.1" 200 7529
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:30 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:30 +0900] "GET /petti/resources/js/free/free_register.js HTTP/1.1" 200 3768
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:33 +0900] "POST /petti/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:33 +0900] "GET /petti/login?logout HTTP/1.1" 200 5729
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:33 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:38 +0900] "POST /petti/user/login HTTP/1.1" 200 5596
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:38 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:42 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:42 +0900] "GET /petti/free/register?pageNum=1&amount=10&cno=0&recommend=F HTTP/1.1" 200 7545
0:0:0:0:0:0:0:1 - - [12/Sep/2023:12:16:42 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
