127.0.0.1 - - [07/Sep/2023:10:50:49 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:50:58 +0900] "GET /petti HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:50:58 +0900] "GET /petti/ HTTP/1.1" 200 4904
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:50:58 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:50:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:51:01 +0900] "GET /petti/free/list HTTP/1.1" 200 15579
0:0:0:0:0:0:0:1 - - [07/Sep/2023:10:51:01 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:05 +0900] "GET /petti/login HTTP/1.1" 200 5734
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:05 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:09 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:09 +0900] "GET /petti/free/list HTTP/1.1" 200 15853
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:09 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:14 +0900] "GET /petti/admin HTTP/1.1" 200 9760
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:14 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:16 +0900] "GET /petti/admin/board HTTP/1.1" 200 12434
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:17:17 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:39 +0900] "GET /petti/free/list HTTP/1.1" 200 15853
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:39 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:40 +0900] "POST /petti/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:40 +0900] "GET /petti/login?logout HTTP/1.1" 200 5734
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:40 +0900] "GET /petti/resources/images/logo.png HTTP/1.1" 200 6761
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:44 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Sep/2023:11:41:44 +0900] "GET /petti/free/list HTTP/1.1" 200 15866
