0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:18:26 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8720
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:18:26 +0900] "GET /petti/resources/js/free/modify.js HTTP/1.1" 404 721
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:11 +0900] "POST /petti/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:11 +0900] "GET /petti/login?logout HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:11 +0900] "GET /petti/login?logout HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:13 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:13 +0900] "GET /petti/login HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:14 +0900] "GET /petti/free/list HTTP/1.1" 200 14714
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9222
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/resources/js/free/free_get.js HTTP/1.1" 200 2001
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/resources/js/free/free_replyService.js HTTP/1.1" 200 1663
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/resources/js/free/free_reply.js HTTP/1.1" 200 6240
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/freeReplies/pages/1/854 HTTP/1.1" 200 154
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:16 +0900] "GET /petti/resources/images/userImage.png HTTP/1.1" 200 75899
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:18 +0900] "GET /petti/login HTTP/1.1" 200 4767
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:21 +0900] "POST /petti/user/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:21 +0900] "GET /petti/free/modify?bno=854&pageNum=1&amount=10 HTTP/1.1" 200 8725
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:21 +0900] "GET /petti/resources/js/free/free_modify.js HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:21 +0900] "GET /petti/free/getAttachList?bno=854 HTTP/1.1" 200 139
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:21 +0900] "GET /petti/files/display?fileName=2023%2F08%2F23%2Fs_a26ffbbd-b394-455e-bd40-85e07ddf6c38_%EA%B3%A0%EC%96%91%EC%9D%B4.jpg HTTP/1.1" 200 1269
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:23 +0900] "POST /petti/free/modify HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:23 +0900] "GET /petti/free/list HTTP/1.1" 200 14836
0:0:0:0:0:0:0:1 - - [24/Aug/2023:10:19:25 +0900] "GET /petti/free/get?pageNum=1&amount=10&cno=0&recommend=F&bno=854 HTTP/1.1" 200 9766
